Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,3391.100098,3470.149902,3391.100098,3442.300049,3400.740234,73311
2023-08-07,3443.000000,3487.750000,3442.000000,3483.750000,3441.689697,48564
2023-08-08,3483.850098,3487.500000,3457.100098,3469.850098,3427.957520,81770
2023-08-09,3469.000000,3469.000000,3425.000000,3464.000000,3422.177979,53047
2023-08-10,3444.050049,3455.000000,3431.000000,3443.449951,3401.876221,85997
2023-08-11,3440.000000,3466.399902,3415.000000,3449.350098,3407.705078,121004
2023-08-14,3425.050049,3454.500000,3410.300049,3449.850098,3408.199219,88531
2023-08-16,3455.000000,3465.050049,3434.000000,3457.550049,3415.805908,38718
2023-08-17,3457.550049,3461.000000,3414.000000,3441.350098,3399.801758,62318
2023-08-18,3411.300049,3412.500000,3350.000000,3367.649902,3326.991211,584952
2023-08-21,3367.000000,3409.000000,3366.949951,3401.750000,3360.679443,62020
2023-08-22,3401.750000,3410.000000,3366.000000,3383.250000,3342.403076,69816
2023-08-23,3383.300049,3401.899902,3375.899902,3399.449951,3358.407227,130854
2023-08-24,3405.000000,3413.550049,3378.350098,3388.800049,3347.885986,101202
2023-08-25,3375.000000,3385.000000,3350.000000,3380.600098,3339.785156,155554
2023-08-28,3386.050049,3391.800049,3360.000000,3375.000000,3334.252686,82413
2023-08-29,3376.050049,3389.399902,3366.000000,3377.649902,3336.870605,63180
2023-08-30,3390.000000,3408.649902,3382.050049,3390.050049,3349.120850,116058
2023-08-31,3392.199951,3416.500000,3345.000000,3357.050049,3316.519531,25911
2023-09-01,3359.050049,3389.000000,3357.050049,3379.199951,3338.402100,47394
2023-09-04,3371.050049,3432.550049,3370.050049,3417.850098,3376.585449,36795
2023-09-05,3417.850098,3447.000000,3406.000000,3427.850098,3386.464600,41368
2023-09-06,3429.550049,3443.600098,3400.000000,3429.850098,3388.440430,36225
2023-09-07,3445.949951,3462.000000,3423.000000,3455.550049,3413.830078,37771
2023-09-08,3445.050049,3463.500000,3435.100098,3443.250000,3401.678711,189880
2023-09-11,3451.149902,3484.500000,3445.100098,3479.350098,3437.343018,93745
2023-09-12,3485.050049,3589.850098,3484.050049,3580.600098,3537.370361,102261
2023-09-13,3562.550049,3588.000000,3545.050049,3565.550049,3522.502197,36826
2023-09-14,3567.850098,3597.649902,3546.050049,3559.149902,3516.179199,24854
2023-09-15,3562.000000,3606.500000,3562.000000,3599.850098,3556.388184,49097
2023-09-18,3583.949951,3618.949951,3574.050049,3604.899902,3561.376953,85875
2023-09-20,3561.050049,3625.000000,3561.050049,3606.550049,3563.007080,32742
2023-09-21,3590.000000,3604.250000,3528.100098,3583.949951,3540.679932,103196
2023-09-22,3580.050049,3633.050049,3564.550049,3602.649902,3559.154053,32498
2023-09-25,3599.899902,3611.000000,3560.050049,3577.449951,3534.258545,84429
2023-09-26,3577.399902,3593.100098,3536.350098,3583.149902,3539.889404,113520
2023-09-27,3595.949951,3613.000000,3555.600098,3587.649902,3544.335205,26350
2023-09-28,3599.949951,3602.550049,3528.800049,3537.250000,3494.543701,374575
2023-09-29,3535.000000,3568.000000,3506.000000,3530.750000,3488.122070,83502
2023-10-03,3531.050049,3534.750000,3480.000000,3515.250000,3472.809326,110749
2023-10-04,3485.600098,3546.000000,3477.000000,3536.649902,3493.950928,282695
2023-10-05,3557.949951,3624.000000,3553.649902,3589.100098,3545.767822,64884
2023-10-06,3590.000000,3634.250000,3576.949951,3620.199951,3576.492188,251185
2023-10-09,3654.000000,3680.000000,3630.000000,3637.250000,3593.336426,136192
2023-10-10,3639.949951,3650.000000,3601.899902,3629.199951,3585.383789,57937
2023-10-11,3664.000000,3664.000000,3606.000000,3610.199951,3566.613037,530680
2023-10-12,3585.000000,3588.750000,3539.000000,3542.250000,3499.483398,205521
2023-10-13,3529.949951,3579.199951,3525.000000,3570.300049,3527.194580,326628
2023-10-16,3564.949951,3574.949951,3517.750000,3524.149902,3481.601563,41613
2023-10-17,3536.949951,3536.949951,3503.350098,3506.649902,3464.312988,79395
2023-10-18,3507.100098,3523.550049,3485.000000,3487.149902,3445.048584,35991
2023-10-19,3473.949951,3478.350098,3451.850098,3454.750000,3421.871338,216685
2023-10-20,3454.699951,3500.449951,3444.050049,3494.250000,3460.995361,391507
2023-10-23,3475.000000,3480.100098,3401.699951,3409.000000,3376.556641,26553
2023-10-25,3399.949951,3425.899902,3377.000000,3389.850098,3357.588867,32271
2023-10-26,3369.850098,3372.500000,3330.399902,3337.750000,3305.984863,155481
2023-10-27,3357.899902,3363.050049,3338.500000,3350.550049,3318.662842,342615
2023-10-30,3354.000000,3382.899902,3333.250000,3378.949951,3346.792725,17188
2023-10-31,3386.050049,3398.300049,3350.550049,3368.199951,3336.145020,47077
2023-11-01,3354.750000,3371.899902,3313.000000,3332.550049,3300.834229,16067
2023-11-02,3341.550049,3375.000000,3341.550049,3359.949951,3327.973389,39442
2023-11-03,3387.399902,3387.399902,3345.949951,3350.850098,3318.959961,124559
2023-11-06,3364.000000,3393.649902,3360.000000,3385.350098,3353.131836,14209
2023-11-07,3385.000000,3404.550049,3366.050049,3370.100098,3338.027100,38446
2023-11-08,3377.949951,3402.000000,3371.850098,3380.750000,3348.575684,68334
2023-11-09,3391.000000,3392.500000,3343.000000,3348.250000,3316.384766,35061
2023-11-10,3343.949951,3347.000000,3322.350098,3332.800049,3301.082031,253510
2023-11-13,3350.000000,3357.000000,3327.000000,3331.699951,3299.992188,32989
2023-11-15,3385.100098,3413.000000,3360.000000,3399.300049,3366.948975,128174
2023-11-16,3467.000000,3529.000000,3415.500000,3498.000000,3464.709473,169895
2023-11-17,3518.949951,3524.500000,3494.050049,3502.649902,3469.315186,271375
2023-11-20,3493.949951,3533.100098,3493.000000,3519.300049,3485.806885,80442
2023-11-21,3523.000000,3539.399902,3502.000000,3510.300049,3476.892822,48656
2023-11-22,3492.050049,3532.449951,3481.000000,3529.850098,3496.256592,114862
2023-11-23,3539.750000,3543.399902,3499.000000,3508.949951,3475.555176,196038
2023-11-24,3499.000000,3504.899902,3452.250000,3457.600098,3424.694336,365537
2023-11-28,3453.000000,3480.000000,3431.600098,3470.449951,3437.421875,58924
2023-11-29,3475.149902,3517.000000,3475.149902,3513.100098,3479.666016,98285
2023-11-30,3507.449951,3515.000000,3481.300049,3493.399902,3460.153320,46364
2023-12-01,3495.100098,3517.149902,3490.000000,3509.600098,3476.199219,441821
2023-12-04,3533.050049,3545.000000,3499.000000,3509.649902,3476.248779,48292
2023-12-05,3537.000000,3537.000000,3503.000000,3529.899902,3496.305908,77724
2023-12-06,3530.449951,3612.399902,3526.899902,3603.350098,3569.057129,48863
2023-12-07,3616.949951,3631.000000,3592.350098,3616.699951,3582.279785,37043
2023-12-08,3620.149902,3644.000000,3601.149902,3626.399902,3591.887451,274344
2023-12-11,3626.399902,3652.699951,3623.000000,3642.199951,3607.537109,22168
2023-12-12,3640.000000,3699.000000,3632.199951,3672.050049,3637.103271,77392
2023-12-13,3641.000000,3650.000000,3563.050049,3593.750000,3559.548340,115769
2023-12-14,3620.250000,3676.350098,3620.250000,3666.600098,3631.705322,246373
2023-12-15,3660.199951,3894.050049,3660.199951,3860.050049,3823.313965,272428
2023-12-18,3860.000000,3928.949951,3831.199951,3858.000000,3821.283691,73334
2023-12-19,3841.399902,3852.000000,3791.000000,3812.100098,3775.820313,54142
2023-12-20,3821.600098,3898.850098,3768.000000,3780.350098,3744.372559,60720
2023-12-21,3734.399902,3805.000000,3734.399902,3789.449951,3753.385742,90556
2023-12-22,3796.300049,3845.949951,3762.699951,3825.300049,3788.894775,127163
2023-12-26,3780.100098,3833.850098,3780.100098,3794.600098,3758.486816,70216
2023-12-27,3795.550049,3818.000000,3768.100098,3810.800049,3774.532715,28290
2023-12-28,3822.100098,3838.250000,3793.750000,3801.050049,3764.875488,29256
2023-12-29,3797.850098,3822.949951,3766.050049,3794.949951,3758.833496,105711
